_id,name,category,price,pic,description
ObjectId("5eb4a52b8c261c69a007d639"),Poudre d amandes,almond-meal,27,https://static.openfoodfacts.org/images/products/871/854/699/7105/front_en.4.400.jpg,"{"rating":2.02,"quantity":"200 g","energy-kcal_100g":595,"energy_100g":2489,"fat_100g":50,"saturated-fat_100g":3.8}"
ObjectId("5eb4a52b8c261c69a007d63a"),Amaranth gepufft,amaranth,27,https://static.openfoodfacts.org/images/products/431/150/145/6590/front_de.5.400.jpg,"{"rating":3.08,"quantity":"125 g","energy-kcal_100g":0,"energy_100g":1808,"fat_100g":7.1,"saturated-fat_100g":2.1}"
ObjectId("5eb4a52b8c261c69a007d63b"),All natural amaranth,amaranth,27,https://static.openfoodfacts.org/images/products/078/826/917/9391/front_en.3.400.jpg,"{"rating":2.49,"quantity":"6 oz","energy-kcal_100g":374,"energy_100g":1565,"fat_100g":6,"saturated-fat_100g":1}"
ObjectId("5eb4a52b8c261c69a007d63c"),Soj' Apéro Mix!,appetizers,41,https://static.openfoodfacts.org/images/products/322/982/015/9775/front_fr.13.400.jpg,"{"rating":1.72,"quantity":"55 g","energy-kcal_100g":522,"energy_100g":2184,"fat_100g":33.5,"saturated-fat_100g":5}"
ObjectId("5eb4a52b8c261c69a007d63d"),Riz Arborio,arborio-rices,35,https://static.openfoodfacts.org/images/products/20054830/front_fr.16.400.jpg,"{"rating":3.69,"quantity":"1 kg","energy-kcal_100g":0,"energy_100g":1504,"fat_100g":0.4,"saturated-fat_100g":0.1}"
ObjectId("5eb4a52b8c261c69a007d63e"),Riso arborio risotto,arborio-rices,47,https://static.openfoodfacts.org/images/products/800/186/025/4222/front_es.27.400.jpg,"{"rating":0.42,"quantity":"500 g","energy-kcal_100g":0,"energy_100g":1490,"fat_100g":1.3,"saturated-fat_100g":0.4}"
ObjectId("5eb4a52b8c261c69a007d63f"),Italian Arborio Risotto Rice,arborio-rices,41,https://static.openfoodfacts.org/images/products/00459068/front_en.9.400.jpg,"{"rating":0.35,"quantity":"500g","energy-kcal_100g":0,"energy_100g":1460,"fat_100g":1,"saturated-fat_100g":0.2}"
ObjectId("5eb4a52b8c261c69a007d640"),Arborio,arborio-rices,18,https://static.openfoodfacts.org/images/products/735/000/240/4980/front_sv.3.400.jpg,"{"rating":3.33,"quantity":"700 g","energy-kcal_100g":0,"energy_100g":1550,"fat_100g":0.6,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d641"),Arborio Risotto Rice,arborio-rices,9,https://static.openfoodfacts.org/images/products/931/014/028/2602/front_en.6.400.jpg,"{"rating":0,"quantity":"750 g","energy-kcal_100g":0,"energy_100g":1470,"fat_100g":1,"saturated-fat_100g":1}"
ObjectId("5eb4a52b8c261c69a007d642"),Risotto Reis Arborio,arborio-rices,14,https://static.openfoodfacts.org/images/products/401/035/511/9346/front_de.6.400.jpg,"{"rating":2.94,"quantity":"500g","energy-kcal_100g":0,"energy_100g":1486,"fat_100g":0.6,"saturated-fat_100g":0.1}"
ObjectId("5eb4a52b8c261c69a007d643"),Risotto Reis Arborio,arborio-rices,8,https://static.openfoodfacts.org/images/products/401/035/511/9346/front_de.6.400.jpg,"{"rating":1.18,"quantity":"500 g","energy-kcal_100g":0,"energy_100g":0,"fat_100g":0,"saturated-fat_100g":0}"
